# Arena Level-Up Statistics
# Generated: 2026-06-19T06:44:56.273Z
# XP formula: 80 + 40 × level²
# Avg XP per win: 25.18 (from 146 wins)
# Avg XP per loss: 1 (from 3 losses)
# Actual win rate: 98.0% (149 total fights)
# Blended avg XP/fight: 24.69
# Columns:
#   level              - Player level
#   xpToNext           - XP needed for next level
#   cumulativeXp       - Total XP from level 1 to reach this level
#   estFights_50pct    - Estimated fights at 50% win rate
#   estFights_70pct    - Estimated fights at 70% win rate
#   estFights_90pct    - Estimated fights at 90% win rate
#   estFights_actual   - Estimated fights at actual win rate (98.0%)
#   cumulativeFights   - Total fights from level 1 at 50% win rate
level,xpToNext,cumulativeXp,estFights_50pct,estFights_70pct,estFights_90pct,estFights_actualWinRate,cumulativeFights_50pct
1,120,120,10,7,6,5,10
2,240,360,19,14,11,10,28
3,440,800,34,25,20,18,62
4,720,1520,56,41,32,30,117
5,1080,2600,83,61,48,44,199
6,1520,4120,117,85,67,62,315
7,2040,6160,156,114,90,83,471
8,2640,8800,202,148,116,107,673
9,3320,12120,254,186,146,135,926
10,4080,16200,312,228,180,166,1238
11,4920,21120,376,275,217,200,1614
12,5840,26960,447,326,257,237,2060
13,6840,33800,523,382,301,277,2583
14,7920,41720,606,442,348,321,3188
15,9080,50800,694,507,399,368,3881
16,10320,61120,789,576,454,418,4670
17,11640,72760,890,650,512,472,5559
18,13040,85800,997,728,573,529,6555
19,14520,100320,1110,810,638,589,7664
20,16080,116400,1229,898,707,652,8893
21,17720,134120,1354,989,779,718,10246
22,19440,153560,1486,1085,855,788,11732
23,21240,174800,1623,1185,934,861,13354
24,23120,197920,1767,1290,1016,937,15120
25,25080,223000,1916,1400,1102,1016,17036
26,27120,250120,2072,1513,1192,1099,19108
27,29240,279360,2234,1632,1285,1185,21342
28,31440,310800,2402,1754,1382,1274,23744
29,33720,344520,2577,1882,1482,1366,26320
30,36080,380600,2757,2013,1586,1462,29076
31,38520,419120,2943,2149,1693,1560,32019
32,41040,460160,3136,2290,1804,1662,35154
33,43640,503800,3334,2435,1918,1768,38488
34,46320,550120,3539,2584,2035,1876,42026
35,49080,599200,3750,2738,2157,1988,45776
36,51920,651120,3967,2897,2281,2103,49742
37,54840,705960,4190,3060,2410,2221,53932
38,57840,763800,4419,3227,2542,2343,58350
39,60920,824720,4654,3399,2677,2468,63004
40,64080,888800,4896,3575,2816,2596,67900
41,67320,956120,5143,3756,2958,2727,73043
42,70640,1026760,5397,3941,3104,2861,78439
43,74040,1100800,5657,4131,3253,2999,84095
44,77520,1178320,5923,4325,3406,3140,90017
45,81080,1259400,6195,4524,3563,3284,96211
46,84720,1344120,6473,4727,3722,3431,102683
47,88440,1432560,6757,4934,3886,3582,109440
